Date, Latitude, Longitude, Altitude, Velocity
19:47:29, 54.26083, 16.41298, 43, 0
19:47:31, 54.26083, 16.41298, 43, 0
19:47:32, 54.26083, 16.41298, 43, 0
19:47:33, 54.26083, 16.41300, 43, 1
19:47:35, 54.26083, 16.41300, 43, 0
19:47:37, 54.26083, 16.41300, 43, 0
19:47:39, 54.26083, 16.41300, 43, 0
19:47:40, 54.26083, 16.41300, 43, 0
19:47:41, 54.26083, 16.41300, 43, 0
19:47:43, 54.26083, 16.41300, 43, 0
19:47:45, 54.26083, 16.41300, 43, 0
19:47:46, 54.26083, 16.41300, 43, 0
19:47:47, 54.26083, 16.41300, 43, 0
19:47:49, 54.26083, 16.41300, 43, 0
19:47:51, 54.26083, 16.41300, 43, 0
19:47:52, 54.26083, 16.41300, 43, 0
19:47:53, 54.26083, 16.41300, 43, 0
19:47:55, 54.26087, 16.41299, 43, 13
19:47:56, 54.26091, 16.41300, 43, 18
19:47:57, 54.26096, 16.41303, 43, 20
19:47:58, 54.26100, 16.41307, 43, 20
19:47:59, 54.26106, 16.41309, 42, 19
19:48:01, 54.26118, 16.41307, 42, 26
19:48:02, 54.26125, 16.41303, 42, 29
19:48:03, 54.26132, 16.41299, 42, 33
19:48:04, 54.26140, 16.41294, 43, 33
19:48:06, 54.26157, 16.41286, 42, 33
19:48:08, 54.26173, 16.41279, 42, 31
19:48:09, 54.26180, 16.41275, 42, 30
19:48:10, 54.26187, 16.41271, 41, 29
19:48:12, 54.26199, 16.41263, 41, 26
19:48:13, 54.26205, 16.41260, 41, 23
19:48:15, 54.26216, 16.41254, 41, 22
19:48:16, 54.26221, 16.41253, 41, 20
19:48:18, 54.26231, 16.41250, 41, 19
19:48:19, 54.26235, 16.41248, 41, 17
19:48:20, 54.26239, 16.41245, 41, 14
19:48:22, 54.26244, 16.41243, 41, 10
19:48:23, 54.26246, 16.41243, 41, 10
19:48:25, 54.26252, 16.41249, 42, 18
19:48:26, 54.26257, 16.41256, 42, 25
19:48:28, 54.26267, 16.41274, 42, 30
19:48:29, 54.26274, 16.41285, 43, 42
19:48:30, 54.26282, 16.41299, 43, 44
19:48:31, 54.26291, 16.41313, 43, 44
19:48:32, 54.26300, 16.41329, 43, 55
19:48:33, 54.26310, 16.41346, 43, 57
19:48:35, 54.26332, 16.41382, 43, 61
19:48:37, 54.26354, 16.41417, 43, 61
19:48:38, 54.26365, 16.41436, 42, 61
19:48:40, 54.26386, 16.41473, 43, 59
19:48:42, 54.26407, 16.41506, 42, 58
19:48:44, 54.26429, 16.41540, 43, 57
19:48:46, 54.26450, 16.41573, 43, 56
19:48:48, 54.26469, 16.41607, 42, 55
19:48:49, 54.26480, 16.41623, 43, 57
19:48:51, 54.26500, 16.41658, 43, 61
19:48:52, 54.26511, 16.41677, 44, 61
19:48:54, 54.26533, 16.41717, 44, 68
19:48:55, 54.26546, 16.41738, 44, 71
19:48:56, 54.26559, 16.41759, 46, 74
19:48:58, 54.26585, 16.41808, 46, 78
19:49:00, 54.26613, 16.41855, 47, 80
