Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2016-08-12 16:26:59.00,2016-08-12 18:26:59.00,0,54.260724,16.413036,5,46.33880615234375,8,0,0,0,0,187.9519500732422,183.3205413818359,15,0.2665635412888241
2016-08-12 16:26:59.74,2016-08-12 18:26:59.74,0,54.260724,16.413036,5,46.33880615234375,8,0.09504164755344391,0,0,0,187.9519500732422,183.3205413818359,15,0.2675201820316764
2016-08-12 16:26:59.87,2016-08-12 18:26:59.87,0,54.260724,16.413036,5,46.33880615234375,8,0.09504164755344391,0,0,0,187.9519500732422,183.3205413818359,15,0.2675201820316764
2016-08-12 16:27:13.58,2016-08-12 18:27:13.58,0,54.260724,16.413036,5,46.6893310546875,8,0.09504164755344391,0,0,0,187.9519500732422,183.3205413818359,15,0.2675201820316764
2016-08-12 16:27:14.00,2016-08-12 18:27:14.00,14.24992114305496,54.260766,16.413008,5,46.771728515625,8,5.129558391363509,0,0,0,186.73486328125,182.1034545898438,20,0.4022535664502578
2016-08-12 16:27:28.57,2016-08-12 18:27:28.57,14.24992114305496,54.260766,16.413008,5,46.993408203125,8,5.129558391363509,0,0,0,186.73486328125,182.1034545898438,20,0.4022535664502578
2016-08-12 16:27:43.57,2016-08-12 18:27:43.57,14.24992114305496,54.260766,16.413008,5,47.2210693359375,8,5.129558391363509,0,0,0,186.73486328125,182.1034545898438,20,0.4022535664502578
2016-08-12 16:27:58.60,2016-08-12 18:27:58.60,14.24992114305496,54.260766,16.413008,5,47.38702392578125,8,5.129558391363509,0,0,0,186.73486328125,182.1034545898438,20,0.4022535664502578
2016-08-12 16:28:13.57,2016-08-12 18:28:13.57,14.24992114305496,54.260766,16.413008,5,47.427978515625,8,5.129558391363509,0,0,0,186.73486328125,182.1034545898438,20,0.4022535664502578
2016-08-12 16:28:28.57,2016-08-12 18:28:28.57,14.24992114305496,54.260766,16.413008,5,47.9014892578125,8,5.129558391363509,0,0,0,186.73486328125,182.1034545898438,20,0.4022535664502578
2016-08-12 16:28:42.00,2016-08-12 18:28:42.00,102.2499213218689,54.260823,16.412981,5,47.81665805942345,3,11.78451001520804,1.919999957084656,0,347.34375,186.73486328125,182.1034545898438,20,43.55558155624632
2016-08-12 16:28:43.57,2016-08-12 18:28:43.57,102.2499213218689,54.260823,16.412981,5,47.81942533627347,3,11.78451001520804,1.919999957084656,1.591897203845022,347.34375,186.73486328125,182.1034545898438,20,43.55558155624632
2016-08-12 16:28:58.60,2016-08-12 18:28:58.60,102.2499213218689,54.260823,16.412981,5,48.90317000771424,3,11.78451001520804,1.919999957084656,0,347.34375,186.73486328125,182.1034545898438,20,43.55558155624632
2016-08-12 16:29:13.58,2016-08-12 18:29:13.58,102.2499213218689,54.260823,16.412981,5,49.31277516787155,3,11.78451001520804,1.919999957084656,0.05333333214124044,347.34375,186.73486328125,182.1034545898438,20,43.55558155624632
2016-08-12 16:29:28.59,2016-08-12 18:29:28.59,102.2499213218689,54.260823,16.412981,5,49.32435185181789,3,11.78451001520804,1.919999957084656,0,347.34375,186.73486328125,182.1034545898438,20,43.55558155624632
2016-08-12 16:29:43.59,2016-08-12 18:29:43.59,102.2499213218689,54.260823,16.412981,5,49.32771529591642,3,11.78451001520804,1.919999957084656,0,347.34375,186.73486328125,182.1034545898438,20,43.55558155624632
2016-08-12 16:29:58.61,2016-08-12 18:29:58.61,102.2499213218689,54.260823,16.412981,5,49.39028118356785,3,11.78451001520804,1.919999957084656,0,347.34375,186.73486328125,182.1034545898438,20,43.55558155624632
2016-08-12 16:30:13.58,2016-08-12 18:30:13.58,102.2499213218689,54.260823,16.412981,5,49.30854841235603,3,11.78451001520804,1.919999957084656,0,347.34375,186.73486328125,182.1034545898438,20,43.55558155624632
2016-08-12 16:30:28.60,2016-08-12 18:30:28.60,102.2499213218689,54.260823,16.412981,5,49.50164590189735,3,11.78451001520804,1.919999957084656,0,347.34375,186.73486328125,182.1034545898438,20,43.55558155624632
2016-08-12 16:30:43.57,2016-08-12 18:30:43.57,102.2499213218689,54.260823,16.412981,5,48.86503984647879,3,11.78451001520804,1.919999957084656,0,347.34375,186.73486328125,182.1034545898438,20,43.55558155624632
2016-08-12 16:30:58.59,2016-08-12 18:30:58.59,102.2499213218689,54.260823,16.412981,5,48.27424530408038,3,11.78451001520804,1.919999957084656,0,347.34375,186.73486328125,182.1034545898438,20,43.55558155624632
2016-08-12 16:31:13.58,2016-08-12 18:31:13.58,102.2499213218689,54.260823,16.412981,5,47.43998396269397,3,11.78451001520804,1.919999957084656,0,347.34375,186.73486328125,182.1034545898438,20,43.55558155624632
2016-08-12 16:31:28.58,2016-08-12 18:31:28.58,102.2499213218689,54.260823,16.412981,5,47.27552848308721,3,11.78451001520804,1.919999957084656,0,347.34375,186.73486328125,182.1034545898438,20,43.55558155624632
2016-08-12 16:31:43.58,2016-08-12 18:31:43.58,102.2499213218689,54.260823,16.412981,5,46.92598241675728,3,11.78451001520804,1.919999957084656,0,347.34375,186.73486328125,182.1034545898438,20,43.55558155624632
2016-08-12 16:31:52.99,2016-08-12 18:31:52.99,293.247737467289,54.260870,16.412935,5,46.58130294373444,3,17.76383076746482,2.450000047683716,0,357.1875,186.73486328125,182.1034545898438,20,-3.341094117794579
