Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2016-08-15 15:52:28.05,2016-08-15 17:52:28.05,0,54.260841,16.412959,5,50.48600415158499,3,0,0,0,0.703125,259.6526184082031,255.0200805664062,89,0.07163997187853713
2016-08-15 15:52:28.30,2016-08-15 17:52:28.30,0,54.260841,16.412959,5,50.48600415158499,3,0,0,0,0.703125,259.6526184082031,255.0200805664062,89,0.07169994176883132
2016-08-15 15:52:28.32,2016-08-15 17:52:28.32,0,54.260841,16.412959,5,50.48600415158499,3,0,0,0,0.703125,259.6526184082031,255.0200805664062,89,0.07169994176883132
2016-08-15 15:52:38.53,2016-08-15 17:52:38.53,0,54.260841,16.412959,5,50.14814651834519,3,0,0,0,0.703125,259.6526184082031,255.0200805664062,89,0.07169994176883132
2016-08-15 15:52:45.05,2016-08-15 17:52:45.05,16.74517196416855,54.260889,16.412955,5,50.31198909217022,3,5.352794190831981,4.679999828338623,0,3.8671875,258.6485900878906,254.0160522460938,89,-7.089388619977558
2016-08-15 15:52:47.04,2016-08-15 17:52:47.04,18.73379796743393,54.260978,16.413002,5,49.90953901107837,3,15.64190304926044,5.199999809265137,0,21.09375,258.6485900878906,254.0160522460938,89,-19.72067083854951
2016-08-15 15:52:48.04,2016-08-15 17:52:48.04,19.73550796508789,54.261027,16.413027,5,49.50839765706323,4,21.37126708665535,5.590000152587891,0,13.0078125,258.6485900878906,254.0160522460938,89,-26.99966093256229
2016-08-15 15:52:49.04,2016-08-15 17:52:49.04,20.73396897315979,54.261076,16.413028,5,49.36635850306108,4,26.80778225046866,5.820000171661377,0,359.296875,258.6485900878906,254.0160522460938,89,-32.40739185510203
2016-08-15 15:52:50.05,2016-08-15 17:52:50.05,21.73858898878098,54.261130,16.413025,5,49.33578644892563,4,32.86813137023836,6.340000152587891,0,352.265625,258.6485900878906,254.0160522460938,89,-38.78035725387198
2016-08-15 15:52:51.05,2016-08-15 17:52:51.05,22.73840099573135,54.261183,16.413016,5,49.18435014388663,4,38.79738969515304,6.539999961853027,0,345.9375,258.6485900878906,254.0160522460938,89,-43.80302801340003
2016-08-15 15:52:52.05,2016-08-15 17:52:52.05,23.73852300643921,54.261243,16.412989,5,49.20274437266256,4,45.643027855695,6.789999961853027,0,340.3125,258.6485900878906,254.0160522460938,89,-50.20146917448994
2016-08-15 15:52:53.04,2016-08-15 17:52:53.04,24.73580896854401,54.261300,16.412956,5,49.22923680252832,4,52.41170155973673,6.909999847412109,0,342.421875,258.6485900878906,254.0160522460938,89,-56.0865699888791
2016-08-15 15:52:53.59,2016-08-15 17:52:53.59,24.73580896854401,54.261300,16.412956,5,49.22923680252832,4,52.41170155973673,6.909999847412109,6.817401491566614,342.421875,258.6485900878906,254.0160522460938,89,-56.0865699888791
2016-08-15 15:52:54.04,2016-08-15 17:52:54.04,25.73814702033997,54.261360,16.412923,5,48.78711080696787,4,59.3919266469113,7.090000152587891,6.817401491566614,342.7734375,258.6485900878906,254.0160522460938,89,-59.25788540247662
2016-08-15 15:52:55.05,2016-08-15 17:52:55.05,26.74171596765518,54.261421,16.412893,5,48.79565950907156,4,66.44424745086123,7.090000152587891,6.817401491566614,343.4765625,258.6485900878906,254.0160522460938,89,-57.57882112091016
2016-08-15 15:52:56.05,2016-08-15 17:52:56.05,27.74208396673203,54.261482,16.412864,5,48.67503613352949,4,73.48503123222895,6.869999885559082,6.817401491566614,343.828125,258.6485900878906,254.0160522460938,89,-56.85604814611866
2016-08-15 15:52:57.05,2016-08-15 17:52:57.05,28.74778401851654,54.261541,16.412830,5,48.92914728345079,4,80.47301643862839,6.809999942779541,6.817401491566614,342.421875,258.6485900878906,254.0160522460938,89,-59.15598725140085
2016-08-15 15:52:58.05,2016-08-15 17:52:58.05,29.73922801017761,54.261602,16.412796,5,47.98902113823897,4,87.5304587543673,6.630000114440918,6.817401491566614,346.2890625,258.6485900878906,254.0160522460938,89,-56.22231896628646
2016-08-15 15:52:59.05,2016-08-15 17:52:59.05,30.73870301246643,54.261668,16.412778,5,48.18713820903541,4,94.97653361675349,6.800000190734863,6.817401491566614,350.5078125,258.6485900878906,254.0160522460938,89,-57.13389256699057
2016-08-15 15:53:00.05,2016-08-15 17:53:00.05,31.74244397878647,54.261728,16.412757,5,48.35551281449251,3,101.872131005491,6.559999942779541,6.817401491566614,347.34375,258.6485900878906,254.0160522460938,89,-58.54841176097893
2016-08-15 15:53:01.06,2016-08-15 17:53:01.06,32.75424498319626,54.261786,16.412725,5,47.94132314839331,3,108.5791359669455,6.849999904632568,6.817401491566614,342.0703125,258.6485900878906,254.0160522460938,89,-58.36198849724156
2016-08-15 15:53:02.06,2016-08-15 17:53:02.06,33.74998700618744,54.261850,16.412696,5,47.88967521863452,3,115.943483886288,7.610000133514404,6.817401491566614,342.421875,258.6485900878906,254.0160522460938,89,-57.84199672173719
2016-08-15 15:53:03.05,2016-08-15 17:53:03.05,34.74238097667694,54.261909,16.412664,5,47.9097727233834,3,122.8808731569591,7.940000057220459,6.817401491566614,343.125,258.6485900878906,254.0160522460938,89,-58.97056710493313
