Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2016-08-16 15:44:26.22,2016-08-16 17:44:26.22,0,54.260876,16.412841,10,56.62994384765625,12,0,0,0,-1,258.4493103027344,253.8106536865234,15,0
2016-08-16 15:44:26.41,2016-08-16 17:44:26.41,0,54.260876,16.412841,10,56.62994384765625,12,0,0,0,-1,258.4493103027344,253.8106536865234,15,0
2016-08-16 15:44:26.42,2016-08-16 17:44:26.42,0,54.260876,16.412841,10,56.62994384765625,12,0,0,0,-1,258.4493103027344,253.8106536865234,15,0
2016-08-16 15:44:27.61,2016-08-16 17:44:27.61,1.196675002574921,54.260842,16.412916,5,57.3468017578125,8,6.108598113603662,0.8500000238418579,0,86.484375,258.4493103027344,253.8106536865234,15,0.1074154501183618
2016-08-16 15:44:40.16,2016-08-16 17:44:40.16,1.196675002574921,54.260842,16.412916,5,48.304443359375,8,6.108598113603662,0.8500000238418579,0,86.484375,258.4493103027344,253.8106536865234,15,0.1074154501183618
2016-08-16 15:44:55.19,2016-08-16 17:44:55.19,1.196675002574921,54.260842,16.412916,5,48.34198894919248,8,6.108598113603662,0.8500000238418579,0,86.484375,258.4493103027344,253.8106536865234,15,0.1074154501183618
2016-08-16 15:45:10.19,2016-08-16 17:45:10.19,1.196675002574921,54.260842,16.412916,5,48.03885793326587,8,6.108598113603662,0.8500000238418579,0,86.484375,258.4493103027344,253.8106536865234,15,0.1074154501183618
2016-08-16 15:45:25.26,2016-08-16 17:45:25.26,1.196675002574921,54.260842,16.412916,5,48.08423942412709,8,6.108598113603662,0.8500000238418579,0,86.484375,258.4493103027344,253.8106536865234,15,0.1074154501183618
2016-08-16 15:45:40.21,2016-08-16 17:45:40.21,1.196675002574921,54.260842,16.412916,5,48.56584775593882,8,6.108598113603662,0.8500000238418579,0,86.484375,258.4493103027344,253.8106536865234,15,0.1074154501183618
2016-08-16 15:45:55.12,2016-08-16 17:45:55.12,1.196675002574921,54.260842,16.412916,5,48.4966700460464,8,6.108598113603662,0.8500000238418579,0,86.484375,258.4493103027344,253.8106536865234,15,0.1074154501183618
2016-08-16 15:46:10.17,2016-08-16 17:46:10.17,1.196675002574921,54.260842,16.412916,5,47.59464182275519,8,6.108598113603662,0.8500000238418579,0,86.484375,258.4493103027344,253.8106536865234,15,0.1074154501183618
2016-08-16 15:46:25.14,2016-08-16 17:46:25.14,1.196675002574921,54.260842,16.412916,5,46.80290931513825,8,6.108598113603662,0.8500000238418579,0.08666666348775227,86.484375,258.4493103027344,253.8106536865234,15,0.1074154501183618
2016-08-16 15:46:40.19,2016-08-16 17:46:40.19,1.196675002574921,54.260842,16.412916,5,46.96175471642988,8,6.108598113603662,0.8500000238418579,0,86.484375,258.4493103027344,253.8106536865234,15,0.1074154501183618
2016-08-16 15:46:55.00,2016-08-16 17:46:55.00,148.5780715346336,54.260922,16.412960,5,47.22850794840296,3,15.3925667010255,4.53000020980835,0,16.5234375,258.4493103027344,253.8106536865234,15,54.76381756470909
2016-08-16 15:46:55.13,2016-08-16 17:46:55.13,148.5780715346336,54.260922,16.412960,5,47.22850794840296,3,15.3925667010255,4.53000020980835,3.437330111557891,16.5234375,258.4493103027344,253.8106536865234,15,54.76381756470909
2016-08-16 15:46:57.00,2016-08-16 17:46:57.00,150.5780709385872,54.261005,16.413006,5,47.01099106171156,3,25.06769438794208,4.519999980926514,3.437330111557891,14.765625,258.4493103027344,253.8106536865234,15,110.5261790945784
2016-08-16 15:46:59.00,2016-08-16 17:46:59.00,152.5780707001686,54.261094,16.413026,5,46.24059254841715,3,35.1573400434761,5.559999942779541,3.437330111557891,356.1328125,258.4493103027344,253.8106536865234,15,270.5882515144847
2016-08-16 15:47:00.00,2016-08-16 17:47:00.00,153.5780718922615,54.261149,16.413023,5,46.35364255258334,3,41.24445893382165,6.849999904632568,3.437330111557891,354.7265625,258.4493103027344,253.8106536865234,15,1997.174515631996
2016-08-16 15:47:01.00,2016-08-16 17:47:01.00,154.5780715346336,54.261221,16.413002,5,46.68829089051221,4,49.41583005361742,7.690000057220459,3.437330111557891,345.5859375,258.4493103027344,253.8106536865234,15,-1043.431452881233
2016-08-16 15:47:02.00,2016-08-16 17:47:02.00,155.5780713558197,54.261292,16.412969,5,46.41202537326478,3,57.53341055797793,8.529999732971191,3.437330111557891,343.125,258.4493103027344,253.8106536865234,15,-438.5782731883374
2016-08-16 15:47:03.00,2016-08-16 17:47:03.00,156.5780714154243,54.261366,16.412930,5,47.00479181283769,3,66.21971800539716,8.920000076293945,3.437330111557891,342.0703125,258.4493103027344,253.8106536865234,15,-486.4726003452315
2016-08-16 15:47:04.00,2016-08-16 17:47:04.00,157.5780716538429,54.261444,16.412884,5,46.10863998154406,3,75.36596443122434,8.920000076293945,3.437330111557891,343.125,258.4493103027344,253.8106536865234,15,-302.7307989491346
2016-08-16 15:47:05.00,2016-08-16 17:47:05.00,158.5780716538429,54.261511,16.412854,5,46.69853699426629,3,83.00721832513295,8.600000381469727,3.437330111557891,343.828125,258.4493103027344,253.8106536865234,15,-260.9720358166867
2016-08-16 15:47:06.00,2016-08-16 17:47:06.00,159.5780708193779,54.261573,16.412828,5,46.33831300004658,3,90.15622047695913,6.920000076293945,3.437330111557891,343.4765625,258.4493103027344,253.8106536865234,15,-238.1252958802724
2016-08-16 15:47:07.00,2016-08-16 17:47:07.00,160.5780717730522,54.261629,16.412801,5,46.05016714096747,3,96.58823024413969,6.269999980926514,3.437330111557891,346.2890625,258.4493103027344,253.8106536865234,15,-201.4418336196952
