"","Latitude","Longitude"
"1",54.26085,16.413
"2",54.26085,16.413
"3",54.26085,16.413
"4",54.26085,16.413
"5",54.26085,16.413
"6",54.26085,16.413
"7",54.26087,16.41301
"8",54.26089,16.41301
"9",54.26093,16.41302
"10",54.26101,16.41305
"11",54.26104,16.41307
"12",54.26113,16.4131
"13",54.26124,16.41306
"14",54.26133,16.413
"15",54.2614,16.41295
"16",54.2615,16.41289
"17",54.26154,16.41288
"18",54.26159,16.41284
"19",54.26168,16.41279
"20",54.26173,16.41278
"21",54.26181,16.41274
"22",54.26186,16.41271
"23",54.26195,16.41265
"24",54.26204,16.41261
"25",54.2621,16.4126
"26",54.26213,16.41259
"27",54.26223,16.41256
"28",54.26228,16.41254
"29",54.26238,16.4125
"30",54.26245,16.41247
"31",54.26248,16.41246
"32",54.26255,16.41248
"33",54.26261,16.41258
"34",54.26268,16.41271
"35",54.26278,16.41287
"36",54.26293,16.41308
"37",54.26299,16.41321
"38",54.26318,16.41351
"39",54.26327,16.41365
"40",54.26346,16.41397
"41",54.26356,16.41413
"42",54.26377,16.41448
"43",54.26387,16.41465
"44",54.26407,16.41497
"45",54.26417,16.41514
"46",54.26438,16.41547
"47",54.26457,16.41582
"48",54.26479,16.41619
"49",54.265,16.41657
"50",54.26512,16.41678
"51",54.26534,16.41717
"52",54.26546,16.41736
"53",54.26569,16.41778
"54",54.26581,16.41799
"55",54.26606,16.41839
"56",54.26617,16.41859
"57",54.26642,16.41899
"58",54.26656,16.41919
"59",54.2668,16.41959
"60",54.26692,16.41978
"61",54.26718,16.42021
"62",54.26742,16.42061
"63",54.26755,16.42079
"64",54.26777,16.42115
"65",54.26798,16.42148
"66",54.26821,16.42179
"67",54.26834,16.42196
"68",54.26859,16.42228
"69",54.26885,16.42258
"70",54.2691,16.42287
"71",54.26933,16.42314
"72",54.26944,16.42327
"73",54.26964,16.42354
"74",54.26984,16.42384
"75",54.26993,16.42401
"76",54.27014,16.4244
"77",54.27023,16.4246
"78",54.27043,16.42495
"79",54.27053,16.42513
"80",54.27072,16.42546
"81",54.27083,16.42562
"82",54.27106,16.42591
"83",54.27132,16.42615
"84",54.27159,16.42637
"85",54.27173,16.42647
"86",54.27201,16.42666
"87",54.27216,16.42676
"88",54.27229,16.42685
"89",54.27244,16.42696
"90",54.27272,16.42715
"91",54.27286,16.42725
"92",54.27311,16.42754
"93",54.27332,16.4279
"94",54.27342,16.4281
"95",54.27351,16.42833
"96",54.27371,16.42881
"97",54.27394,16.42935
"98",54.27421,16.43002
"99",54.27434,16.43037
"100",54.27461,16.43101
"101",54.27485,16.4316
"102",54.27497,16.43187
"103",54.27516,16.43235
"104",54.27536,16.43282
"105",54.27546,16.43306
"106",54.27555,16.43328
"107",54.27575,16.43374
"108",54.27594,16.43416
"109",54.27604,16.43441
"110",54.27614,16.43465
"111",54.27624,16.4349
"112",54.27635,16.43514
"113",54.27656,16.43564
"114",54.27667,16.43588
"115",54.27689,16.43636
"116",54.27709,16.43687
"117",54.27721,16.43714
"118",54.27743,16.43764
"119",54.27753,16.43793
"120",54.2777,16.43851
"121",54.27777,16.43881
"122",54.27788,16.43939
"123",54.27791,16.43969
"124",54.27796,16.44025
"125",54.27798,16.44053
"126",54.27797,16.44109
"127",54.27793,16.44167
"128",54.27789,16.44199
"129",54.27784,16.44232
"130",54.27771,16.44301
"131",54.27753,16.44367
"132",54.27734,16.44429
"133",54.27717,16.44493
"134",54.27708,16.44525
"135",54.27697,16.44599
"136",54.27693,16.44639
"137",54.2769,16.4472
"138",54.27698,16.44807
"139",54.27705,16.44848
"140",54.27711,16.44891
"141",54.27721,16.44939
"142",54.27742,16.4502
"143",54.27752,16.45057
"144",54.27761,16.45092
"145",54.27778,16.45154
"146",54.27793,16.45212
"147",54.27805,16.45269
"148",54.27816,16.45328
"149",54.27826,16.45385
"150",54.2783,16.45412
"151",54.27834,16.4544
"152",54.27845,16.45496
"153",54.27848,16.45526
"154",54.27858,16.45586
"155",54.27863,16.45617
"156",54.27874,16.4568
"157",54.2788,16.45711
"158",54.27886,16.4574
"159",54.27892,16.45769
"160",54.27902,16.45828
"161",54.27907,16.45858
"162",54.2791,16.45889
"163",54.27913,16.45919
"164",54.27913,16.45952
"165",54.27916,16.45981
"166",54.27913,16.46043
"167",54.27904,16.46113
"168",54.27899,16.46144
"169",54.27894,16.46175
"170",54.27884,16.46236
"171",54.27882,16.4626
"172",54.2787,16.46321
"173",54.27861,16.46376
"174",54.27853,16.46434
"175",54.27848,16.46461
"176",54.2784,16.46519
"177",54.27835,16.46548
"178",54.2783,16.4658
"179",54.27822,16.46647
"180",54.27816,16.46681
"181",54.27805,16.46748
"182",54.278,16.46781
"183",54.27791,16.46843
"184",54.27787,16.46873
"185",54.27775,16.46939
"186",54.27769,16.46972
"187",54.27758,16.47042
"188",54.27754,16.47078
"189",54.27745,16.47143
"190",54.2774,16.47176
"191",54.2773,16.47239
"192",54.27727,16.47269
"193",54.27719,16.47329
"194",54.27716,16.47361
"195",54.27714,16.47392
"196",54.27711,16.47458
"197",54.27711,16.47524
"198",54.27711,16.47557
"199",54.27714,16.47625
"200",54.27716,16.47659
"201",54.27725,16.47731
"202",54.27731,16.47765
"203",54.27736,16.47796
